,precision,recall,f1-score,support
Alergologia,0.9364069952305246,0.9261006289308176,0.9312252964426877,636.0
Angiologia,0.9668508287292817,0.9162303664921466,0.9408602150537635,191.0
Cardiologia,0.9646556977452773,0.9717618170656844,0.9681957186544342,1629.0
Cirurgia Bucomaxilofacial,0.9940828402366864,0.9281767955801105,0.96,181.0
Cirurgia Geral,0.8734299516908213,0.837037037037037,0.8548463356973995,1080.0
Clínica Geral,0.8767123287671232,0.9105691056910569,0.8933200398803589,492.0
Coloproctologia,0.9855491329479769,0.9419889502762431,0.963276836158192,362.0
Dermatologia,0.9823008849557522,0.9889236696364074,0.9856011519078474,4153.0
Endocrinologia,0.977961432506887,0.9391534391534392,0.9581646423751687,378.0
Gastroenterologia,0.920038228735266,0.9575596816976127,0.9384240454914704,3016.0
Ginecologia,0.9904632152588556,0.9664340312396145,0.9783010933557611,3009.0
Hematologia,0.9594594594594594,0.8452380952380952,0.8987341772151899,420.0
Medicina de Emergência,0.9482071713147411,0.8717948717948718,0.9083969465648855,273.0
Nefrologia,0.9482071713147411,0.937007874015748,0.9425742574257425,508.0
Neurologia,0.916629711751663,0.896357328707719,0.9063801797851349,2306.0
Odontologia,0.9883474576271186,0.9914984059511158,0.9899204244031831,941.0
Oftalmologia,0.9968639749117993,0.9956930305403289,0.9962781586679725,2554.0
Ortopedia,0.9130850047755492,0.946066303809995,0.9292831105710814,4042.0
Otorrinolaringologia,0.968248429867411,0.9726603575184016,0.9704493792621087,2853.0
Pediatria,0.9387144992526159,0.8722222222222222,0.904247660187185,720.0
Pneumologia,0.9297921478060046,0.9645424053665549,0.9468485418626529,2087.0
Psiquiatria,0.9917575113001861,0.9867724867724867,0.9892587190027847,3780.0
Reumatologia,0.8432267884322678,0.7694444444444445,0.8046477850399419,720.0
Urologia,0.9695476936856248,0.97875226039783,0.9741282339707537,2212.0
accuracy,0.953921594063773,0.953921594063773,0.953921594063773,0.953921594063773
macro avg,0.9491891065959847,0.9296660670658325,0.9388901228739875,38543.0
weighted avg,0.9540163407375089,0.953921594063773,0.9537312401093315,38543.0
