,Alergologia,Angiologia,Cardiologia,Cirurgia Bucomaxilofacial,Cirurgia Geral,Clínica Geral,Coloproctologia,Dermatologia,Endocrinologia,Gastroenterologia,Ginecologia,Hematologia,Medicina de Emergência,Nefrologia,Neurologia,Odontologia,Oftalmologia,Ortopedia,Otorrinolaringologia,Pediatria,Pneumologia,Psiquiatria,Reumatologia,Urologia
Alergologia,589,0,1,0,0,2,0,25,0,0,0,0,0,3,0,0,5,0,10,0,1,0,0,0
Angiologia,2,175,1,0,0,0,0,8,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
Cardiologia,0,0,1583,0,0,1,0,0,0,2,0,2,0,3,0,0,0,0,1,0,36,1,0,0
Cirurgia Bucomaxilofacial,1,0,0,168,0,0,0,0,0,0,0,0,0,0,1,2,2,0,7,0,0,0,0,0
Cirurgia Geral,0,0,0,0,904,1,3,5,0,119,6,2,1,4,6,0,0,8,0,0,2,0,8,11
Clínica Geral,0,0,0,0,3,448,0,1,2,4,0,0,1,0,0,0,0,0,25,1,7,0,0,0
Coloproctologia,0,0,0,0,0,0,341,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermatologia,22,3,0,0,7,0,0,4107,0,0,2,0,1,0,1,0,0,0,1,6,0,0,3,0
Endocrinologia,0,0,0,0,0,1,0,0,355,5,0,0,1,6,5,0,0,0,2,0,0,2,0,1
Gastroenterologia,0,0,9,0,72,11,1,1,0,2888,4,3,1,3,0,0,0,0,2,1,9,2,0,9
Ginecologia,0,0,0,0,14,0,0,4,0,38,2908,1,0,0,1,0,0,0,0,0,1,0,0,42
Hematologia,0,0,1,0,5,6,1,0,0,35,1,355,0,0,1,0,0,8,0,2,2,0,2,1
Medicina de Emergência,2,0,0,0,0,2,0,13,0,1,0,0,238,1,0,0,0,0,0,0,15,0,0,1
Nefrologia,0,0,5,0,0,1,0,0,3,9,1,1,0,476,4,0,0,1,2,0,3,2,0,0
Neurologia,0,3,0,0,2,1,0,3,1,2,2,5,0,0,2067,0,1,200,1,0,0,3,15,0
Odontologia,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,933,0,0,5,1,0,0,0,0
Oftalmologia,6,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2543,0,0,0,1,0,0,0
Ortopedia,0,0,1,0,1,0,0,5,0,0,0,0,0,0,127,0,0,3824,0,0,8,0,75,1
Otorrinolaringologia,6,0,3,0,0,29,0,1,1,2,0,0,0,0,4,7,0,0,2775,8,17,0,0,0
Pediatria,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,25,628,42,19,0,0
Pneumologia,0,0,25,0,0,6,0,1,0,3,0,0,7,3,2,0,0,2,10,11,2013,2,0,2
Psiquiatria,0,0,12,0,0,0,0,0,1,1,2,0,1,1,14,0,0,0,0,11,7,3730,0,0
Reumatologia,0,0,0,0,2,0,0,2,0,0,0,1,0,0,16,0,0,144,0,0,1,0,554,0
Urologia,0,0,0,0,25,0,0,3,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,2165
